Grand Parent,Grand Parent Description,Parent,Parent Description,Child,Child Description,Grand Child,2023-09-02 00:00:00
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure Access Review is Set Up for External Users in Azure AD Privileged Identity Management,"This recommendation extends guest access review by utilizing the Azure AD Privileged Identity Management feature provided in Azure AD Premium P2. Azure AD is extended to include Azure AD B2B collaboration, allowing you to invite people from outside your organization to be guest users in your cloud account and sign in with their own work, school, or social identities. Guest users allow you to share your company's applications and services with users from any other organization, while maintaining control over your own corporate data. Work with external partners, large or small, even if they don't have Azure AD or an IT department. A simple invitation and redemption process lets partners use their own credentials to access your company's resources a a guest user.",Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure Guest Users Are Reviewed on a Regular Basis,"Azure AD is extended to include Azure AD B2B collaboration, allowing you to invite people from outside your organization to be guest users in your cloud account and sign in with their own work, school, or social identities. Guest users allow you to share your company's applications and services with users from any other organization, while maintaining control over your own corporate data. Work with external partners, large or small, even if they don't have Azure AD or an IT department. A simple invitation and redemption process lets partners use their own credentials to access your company's resources as a guest user. Guest users in every subscription should be review on a regular basis to ensure that inactive and unneeded accounts are removed.","relation ""azuread_user"" does not exist (SQLSTATE 42P01)",Error
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Allow users to remember multi-factor authentication on devices they trust' is 'Disabled',Do not allow users to remember multi-factor authentication on devices.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure That 'Number of methods required to reset' is set to '2',Ensures that two alternate forms of identification are provided before allowing a password reset.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that a Custom Bad Password List is set to 'Enforce' for your Organization,Microsoft Azure creates a default bad password policy that is already applied to Azure administrative and normal user accounts. This is not applied to user accounts that are synced from an on-premise Active Directory unless Azure AD Connect is used and you enable EnforceCloudPasswordPolicyForPasswordSyncedUsers. Please see the list in default values on the specifics of this policy.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Number of days before users are asked to reconfirm their authentication information' is not set to '0',Ensure that the number of days before users are asked to re-confirm their authentication information is not set to 0.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Notify users on password resets?' is set to 'Yes',Ensure that users are notified on their primary and secondary emails on password resets.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure That 'Notify all admins when other admins reset their password?' is set to 'Yes',Ensure that all administrators are notified if any other administrator resets their password.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure That ‘Users Can Consent to Apps Accessing Company Data on Their Behalf’ Is Set To ‘Allow for Verified Publishers’,Allow users to provide consent for selected permissions when a request is coming from a verified publisher.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Users can consent to apps accessing company data on their behalf' is set to 'No',Require administrators to provide consent for the apps before use.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Users can add gallery apps to My Apps' is set to 'No',Require administrators to provide consent for the apps before use.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure That ‘Users Can Register Applications’ Is Set to ‘No’,Require administrators or appropriately delegated users to register third-party applications.,"relation ""azuread_authorization_policy"" does not exist (SQLSTATE 42P01)",Error
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure That 'Guest users access restrictions' is set to 'Guest user access is restricted to properties and memberships of their own directory objects',Limit guest user permissions.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Guest invite restrictions' is set to 'Only users assigned to specific admin roles can invite guest users',Restrict invitations to users with specific administrative roles only.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure That 'Restrict access to Azure AD administration portal' is Set to 'Yes',Restrict access to the Azure AD administration portal to administrators only.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Restrict user ability to access groups features in the Access Pane' is Set to 'Yes',Restricts group creation to administrators with permissions only.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,"Ensure that 'Users can create security groups in Azure portals, API or PowerShell' is set to 'No'",Restrict security group creation to administrators only.,"relation ""azuread_authorization_policy"" does not exist (SQLSTATE 42P01)",Error
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Owners can manage group membership requests in the Access Panel' is set to 'No',Restrict security group management to administrators only.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,"Ensure that 'Users can create Microsoft 365 groups in Azure portals, API or PowerShell' is set to 'No'",Restrict Microsoft 365 group creation to administrators only.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure that 'Require Multi-Factor Authentication to register or join devices with Azure AD' is set to 'Yes',Joining or registering devices to the active directory should require Multi-factor authentication.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure That No Custom Subscription Owner Roles Are Created,Subscription ownership should not include permission to create custom owner roles. The principle of least privilege should be followed and only necessary privileges should be assigned instead of allowing full administrative access.,Not applicable.,Not applicable
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure a Custom Role is Assigned Permissions for Administering Resource Locks,Resource locking is a powerful protection mechanism that can prevent inadvertent modification/deletion of resources within Azure subscriptions/Resource Groups and is a recommended NIST configuration.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,,,Ensure That ‘Subscription Entering AAD Directory’ and ‘Subscription Leaving AAD Directory’ Is Set To ‘Permit No One’,Users who are set as subscription owners are able to make administrative changes to the subscriptions and move them into and out of Azure Active Directories.,Manual verification required.,Manual
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Servers Is Set to 'On'',"Turning on Microsoft Defender for Servers enables threat detection for Servers, providing threat intelligence, anomaly detection, and behavior analytics in the Microsoft Defender for Cloud.",Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for App Services Is Set To 'On',"Turning on Microsoft Defender for App Service enables threat detection for App Service, providing threat intelligence, anomaly detection, and behavior analytics in the Microsoft Defender for Cloud.",Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Databases Is Set To 'On',"Turning on Microsoft Defender for Databases enables threat detection for the instances running your database software. This provides threat intelligence, anomaly detection, and behavior analytics in the Azure Microsoft Defender for Cloud. Instead of being enabled on services like Platform as a Service (PaaS), this implementation will run within your instances as Infrastructure as a Service (IaaS) on the Operating Systems hosting your databases.",Azure Defender off for Databases.,Alarm
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Azure SQL Databases Is Set To 'On',"Turning on Microsoft Defender for Azure SQL Databases enables threat detection for Azure SQL database servers, providing threat intelligence, anomaly detection, and behavior analytics in the Microsoft Defender for Cloud.",Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for SQL Servers on Machines Is Set To 'On',"Turning on Microsoft Defender for SQL servers on machines enables threat detection for SQL servers on machines, providing threat intelligence, anomaly detection, and behavior analytics in the Microsoft Defender for Cloud.",Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Open-Source Relational Databases Is Set To 'On',"Turning on Microsoft Defender for Open-source relational databases enables threat detection for Open-source relational databases, providing threat intelligence, anomaly detection, and behavior analytics in the Microsoft Defender for Cloud.",Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Storage Is Set To 'On',"Turning on Microsoft Defender for Storage enables threat detection for Storage, providing threat intelligence, anomaly detection, and behavior analytics in the Microsoft Defender for Cloud.",Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Containers Is Set To 'On',"Turning on Microsoft Defender for Containers enables threat detection for Container Registries including Kubernetes, providing threat intelligence, anomaly detection, and behavior analytics in the Microsoft Defender for Cloud.",Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Cosmos DB Is Set To 'On',Microsoft Defender for Cosmos DB scans all incoming network requests for changes to your virtual machine.,Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Key Vault Is Set To 'On',"Turning on Microsoft Defender for Key Vault enables threat detection for Key Vault, providing threat intelligence, anomaly detection, and behavior analytics in the Microsoft Defender for Cloud.",Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for DNS Is Set To 'On',Microsoft Defender for DNS scans all network traffic exiting from within a subscription.,Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for IoT Is Set To 'On',Microsoft Defender for IoT acts as a central security hub for IoT devices within your organization.,Manual verification required.,Manual
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.1 Defender Plans,"This subsection is dedicated to providing guidance on Microsoft Defender for Cloud product plans. This guidance is intended to ensure that - at a minimum - the protective measures offered by these plans are being considered. Organizations may find that they have existing products or services that provide the same utility as some Microsoft Defender for Cloud products. Security and Administrative personnel need to make the determination on their organization's behalf regarding which - if any - of these recommendations are relevant to their organization's needs. In consideration of the above, and because of the potential for increased cost and complexity, please be aware that all Defender Plan recommendations are profiled as 'Level 2' recommendations.",Ensure That Microsoft Defender for Resource Manager Is Set To 'On',Microsoft Defender for Resource Manager scans incoming administrative requests to change your infrastructure from both CLI and the Azure portal.,Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.2 Auto Provisioning,"Microsoft Defender for Cloud ingests data from agents, extensions, and integrations. Automatic provisioning assists with the deployment and maintenance of agents and extensions required on endpoints such as Azure Virtual Machines.",Ensure that Auto provisioning of 'Log Analytics agent for Azure VMs' is Set to 'On',Enable automatic provisioning of the monitoring agent to collect security data.,Automatic provisioning of monitoring agent is off.,Alarm
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.2 Auto Provisioning,"Microsoft Defender for Cloud ingests data from agents, extensions, and integrations. Automatic provisioning assists with the deployment and maintenance of agents and extensions required on endpoints such as Azure Virtual Machines.",Ensure that Auto provisioning of 'Vulnerability assessment for machines' is Set to 'On',Enable automatic provisioning of vulnerability assessment for machines on both Azure and hybrid (Arc enabled) machines.,Manual verification required.,Manual
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.2 Auto Provisioning,"Microsoft Defender for Cloud ingests data from agents, extensions, and integrations. Automatic provisioning assists with the deployment and maintenance of agents and extensions required on endpoints such as Azure Virtual Machines.",Ensure that Auto provisioning of 'Microsoft Defender for Containers components' is Set to 'On',Enable automatic provisioning of the Microsoft Defender for Containers components.,Manual verification required.,Manual
